name,family,level,strength_index,seed,observations,score,signal,visualization_quality,skewness,skew_score,outlier_rate,outlier_score,tail_asymmetry,tail_asymmetry_score
hist_bimodality_moderate_seed_1,bimodality,moderate,2,1,1000,66.56,48.55,100.0,-0.06332630625479366,0.0,0.0,0.0,0.017512055452054597,0.0
hist_skewness_strong_seed_1,skewness,strong,3,1,1000,63.25,43.46,100.0,3.349073345846608,48.49073345846608,0.052,37.99999999999999,0.3409441372277256,43.45921829703008
hist_outliers_strong_seed_1,symmetric_outliers,strong,3,1,1000,64.47,45.33,100.0,-0.4750564491974079,5.835214973246932,0.063,45.33333333333333,0.0362395030918854,0.0
hist_combined_tail_strong_seed_1,combined_right_tail,strong,3,1,1000,80.63,70.2,100.0,3.1489154215040283,46.48915421504028,0.097,63.5,0.5529584982454794,70.19723321636529
hist_bimodality_strong_seed_1,bimodality,strong,3,1,1000,83.32,74.33,100.0,-0.013145255198065598,0.0,0.0,0.0,0.04450954900779797,0.0
hist_skewness_extreme_seed_1,skewness,extreme,4,1,1000,74.42,60.64,100.0,6.5384192859693275,65.12806428656442,0.066,47.33333333333333,0.4668526581122044,60.64113727707445
hist_outliers_extreme_seed_1,symmetric_outliers,extreme,4,1,1000,77.42,65.26,100.0,-0.48249826512621935,6.083275504207313,0.101,65.26,0.02463642585738409,0.0
hist_combined_tail_extreme_seed_1,combined_right_tail,extreme,4,1,1000,91.96,87.63,100.0,2.8535702559573717,43.535702559573714,0.14,75.4,0.8429711583295708,87.62512844424378
hist_bimodality_extreme_seed_1,bimodality,extreme,4,1,1000,86.68,79.5,100.0,0.008365289817851684,0.0,0.0,0.0,0.26182481019035464,32.909974692047285
hist_skewness_ordinary_seed_2,skewness,ordinary,0,2,1000,35.0,0.0,100.0,0.13380507011648138,0.0,0.008,0.0,0.01727714682907294,0.0
hist_outliers_ordinary_seed_2,symmetric_outliers,ordinary,0,2,1000,35.0,0.0,100.0,0.13380507011647982,0.0,0.008,0.0,0.01727714682907232,0.0
hist_combined_tail_ordinary_seed_2,combined_right_tail,ordinary,0,2,1000,35.0,0.0,100.0,0.13380507011648138,0.0,0.008,0.0,0.01727714682907294,0.0
hist_bimodality_ordinary_seed_2,bimodality,ordinary,0,2,1000,35.0,0.0,100.0,0.008349593997112313,0.0,0.009,0.0,0.02408423848756325,0.0
hist_skewness_weak_seed_2,skewness,weak,1,2,1000,46.85,18.22,100.0,0.7714241397452027,13.428482794904056,0.02,15.0,0.14579297128149565,18.224121410186957
hist_outliers_weak_seed_2,symmetric_outliers,weak,1,2,1000,41.82,10.5,100.0,0.42856859908333833,4.285619969444611,0.017,10.500000000000002,0.0060903322780817455,0.0
hist_combined_tail_weak_seed_2,combined_right_tail,weak,1,2,1000,48.65,21.0,100.0,3.0307179573223384,45.30717957322339,0.028,21.0,0.14964054401921123,18.705068002401404
hist_bimodality_weak_seed_2,bimodality,weak,1,2,1000,35.0,0.0,100.0,0.020728065936908277,0.0,0.0,0.0,0.028142321472405158,0.0
hist_skewness_moderate_seed_2,skewness,moderate,2,2,1000,57.08,33.97,100.0,1.5181680979687462,27.170231591992128,0.028,21.0,0.26974731429741705,33.96630857298894
hist_outliers_moderate_seed_2,symmetric_outliers,moderate,2,2,1000,52.06,26.25,100.0,0.1401931817682883,0.0,0.035,26.250000000000004,0.00511516200247133,0.0
