scenario,relationship_type,rows,is_null,candidate_count,expected_rank,type_specific_rank,expected_score,hit_at_1,hit_at_3,hit_at_5,reciprocal_rank,elapsed_seconds
linear_40pct_missing_seed_3,linear_40pct_missing,500,False,19,1,1,90.01,True,True,True,1.0,0.24735745899988615
quadratic_strong_seed_3,nonlinear_quadratic_strong,500,False,19,1,1,97.11,True,True,True,1.0,0.26279154200005905
quadratic_noisy_seed_3,nonlinear_quadratic_noisy,500,False,19,1,1,80.83,True,True,True,1.0,0.25925149999989117
sinusoidal_seed_3,nonlinear_sinusoidal,500,False,19,1,1,96.27,True,True,True,1.0,0.2588175409998712
symmetric_threshold_seed_3,nonlinear_threshold,500,False,19,1,1,89.33,True,True,True,1.0,0.25826166599995304
categorical_effect_seed_3,categorical_effect,500,False,20,1,1,88.93,True,True,True,1.0,0.16932033300008698
imbalanced_category_seed_3,category_imbalance,500,False,13,1,1,59.75,True,True,True,1.0,0.08090287499999249
temporal_trend_seed_3,temporal_trend,500,False,16,1,1,91.33,True,True,True,1.0,0.15621091599996362
temporal_seasonality_seed_3,temporal_seasonality,730,False,16,1,1,97.0,True,True,True,1.0,0.18681720800009316
temporal_change_point_seed_3,temporal_change_point,500,False,16,1,1,92.63,True,True,True,1.0,0.15146874999982174
trend_and_seasonality_seed_3,temporal_trend_seasonality,730,False,16,1,1,97.0,True,True,True,1.0,0.1890167090000432
temporal_volatility_shift_seed_3,temporal_volatility_shift,500,False,16,1,1,99.0,True,True,True,1.0,0.19435604199998124
skewed_distribution_seed_3,skewed_distribution,500,False,13,1,1,83.38,True,True,True,1.0,0.14770320799993897
outlier_distribution_seed_3,outlier_distribution,500,False,13,1,1,65.77,True,True,True,1.0,0.14495862500007206
strong_linear_n500_seed_4,strong_linear_n500,500,False,19,1,1,97.67,True,True,True,1.0,0.26997091600014755
strong_linear_n30_seed_4,strong_linear_n30,30,False,19,1,1,91.32,True,True,True,1.0,0.12591450000013538
strong_linear_n75_seed_4,strong_linear_n75,75,False,19,1,1,94.74,True,True,True,1.0,0.13629133299991736
strong_linear_n150_seed_4,strong_linear_n150,150,False,19,1,1,97.87,True,True,True,1.0,0.18220608399997218
weak_linear_seed_4,weak_linear,500,False,19,1,1,57.48,True,True,True,1.0,0.267990583000028
linear_40pct_missing_seed_4,linear_40pct_missing,500,False,19,1,1,89.95,True,True,True,1.0,0.24917024999990645
quadratic_strong_seed_4,nonlinear_quadratic_strong,500,False,19,1,1,97.32,True,True,True,1.0,0.26350029199988967
quadratic_noisy_seed_4,nonlinear_quadratic_noisy,500,False,19,1,1,79.86,True,True,True,1.0,0.25954624999985754
sinusoidal_seed_4,nonlinear_sinusoidal,500,False,19,1,1,95.48,True,True,True,1.0,0.26023525000005066
symmetric_threshold_seed_4,nonlinear_threshold,500,False,19,1,1,86.79,True,True,True,1.0,0.26310470899989014
categorical_effect_seed_4,categorical_effect,500,False,20,1,1,89.17,True,True,True,1.0,0.16916441700004725
imbalanced_category_seed_4,category_imbalance,500,False,13,1,1,56.58,True,True,True,1.0,0.08297391699989021
temporal_trend_seed_4,temporal_trend,500,False,16,1,1,90.42,True,True,True,1.0,0.15718450000008488
temporal_seasonality_seed_4,temporal_seasonality,730,False,16,1,1,97.0,True,True,True,1.0,0.18877445800012538
temporal_change_point_seed_4,temporal_change_point,500,False,16,1,1,91.9,True,True,True,1.0,0.15712962500015237
trend_and_seasonality_seed_4,temporal_trend_seasonality,730,False,16,1,1,97.0,True,True,True,1.0,0.18897470899992186
temporal_volatility_shift_seed_4,temporal_volatility_shift,500,False,16,1,1,99.0,True,True,True,1.0,0.16267370900004607
skewed_distribution_seed_4,skewed_distribution,500,False,13,1,1,83.7,True,True,True,1.0,0.1538252079999438
outlier_distribution_seed_4,outlier_distribution,500,False,13,1,1,64.03,True,True,True,1.0,0.14999879199990573
