relationship_type,datasets,rows_per_dataset,chart_scope,mean_score,mean_max_score,highest_score,pct_above_50,pct_above_65
null_scatter_small_sample,5,30,scatter,36.582,38.745999999999995,43.25,0.0,0.0
null_all_noise,5,500,all,36.8884347826087,40.757999999999996,42.67,0.0,0.0
null_group_random,5,500,"bar,box",36.49933333333333,38.958000000000006,42.32,0.0,0.0
null_line_white_noise,5,500,line,38.166000000000004,38.166000000000004,39.92,0.0,0.0
null_scatter_outliers,5,500,scatter,36.586,36.586,37.53,0.0,0.0
null_scatter_skewed,5,500,scatter,36.28,36.28,37.34,0.0,0.0
